symbol,urlhistory,urlsymbol
IJC, http://s.cafef.vn/Lich-su-giao-dich-IJC-1.chn, http://s.cafef.vn/hose/IJC-cong-ty-co-phan-phat-trien-ha-tang-ky-thuat.chn
C32, http://s.cafef.vn/Lich-su-giao-dich-C32-1.chn, http://s.cafef.vn/hose/C32-cong-ty-co-phan-cic39.chn
AMC, http://s.cafef.vn/Lich-su-giao-dich-AMC-1.chn, http://s.cafef.vn/hastc/AMC-cong-ty-co-phan-khoang-san-a-chau.chn
UDL, http://s.cafef.vn/Lich-su-giao-dich-UDL-1.chn, http://s.cafef.vn/upcom/UDL-ctcp-do-thi-va-moi-truong-dak-lak.chn
PLC, http://s.cafef.vn/Lich-su-giao-dich-PLC-1.chn, http://s.cafef.vn/hastc/PLC-tong-cong-ty-hoa-dau-petrolimexctcp.chn
AGM, http://s.cafef.vn/Lich-su-giao-dich-AGM-1.chn, http://s.cafef.vn/hose/AGM-cong-ty-co-phan-xuat-nhap-khau-an-giang.chn
CDC, http://s.cafef.vn/Lich-su-giao-dich-CDC-1.chn, http://s.cafef.vn/hose/CDC-cong-ty-co-phan-chuong-duong.chn
SHP, http://s.cafef.vn/Lich-su-giao-dich-SHP-1.chn, http://s.cafef.vn/hose/SHP-cong-ty-co-phan-thuy-dien-mien-nam.chn
DSV, http://s.cafef.vn/Lich-su-giao-dich-DSV-1.chn, http://s.cafef.vn/upcom/DSV-cong-ty-co-phan-duong-sat-vinh-phu.chn
CQT, http://s.cafef.vn/Lich-su-giao-dich-CQT-1.chn, http://s.cafef.vn/upcom/CQT-cong-ty-co-phan-xi-mang-quan-trieu-vvmi.chn
DC2, http://s.cafef.vn/Lich-su-giao-dich-DC2-1.chn, http://s.cafef.vn/hastc/DC2-cong-ty-co-phan-dau-tu-phat-trien-xay-dung-so-2.chn
CLH, http://s.cafef.vn/Lich-su-giao-dich-CLH-1.chn, http://s.cafef.vn/hastc/CLH-cong-ty-co-phan-xi-mang-la-hien-vvmi.chn
TA9, http://s.cafef.vn/Lich-su-giao-dich-TA9-1.chn, http://s.cafef.vn/hastc/TA9-cong-ty-co-phan-xay-lap-thanh-an-96.chn
INN, http://s.cafef.vn/Lich-su-giao-dich-INN-1.chn, http://s.cafef.vn/hastc/INN-cong-ty-co-phan-bao-bi-va-in-nong-nghiep.chn
SRF, http://s.cafef.vn/Lich-su-giao-dich-SRF-1.chn, http://s.cafef.vn/hose/SRF-cong-ty-co-phan-searefico.chn
HOM, http://s.cafef.vn/Lich-su-giao-dich-HOM-1.chn, http://s.cafef.vn/hastc/HOM-cong-ty-co-phan-xi-mang-vicem-hoang-mai.chn
TC6, http://s.cafef.vn/Lich-su-giao-dich-TC6-1.chn, http://s.cafef.vn/hastc/TC6-cong-ty-co-phan-than-coc-sau-vinacomin.chn
ADC, http://s.cafef.vn/Lich-su-giao-dich-ADC-1.chn, http://s.cafef.vn/hastc/ADC-cong-ty-co-phan-mi-thuat-va-truyen-thong.chn
DVC, http://s.cafef.vn/Lich-su-giao-dich-DVC-1.chn, http://s.cafef.vn/upcom/DVC-cong-ty-co-phan-thuong-mai-dich-vu-tong-hop-cang-hai-phong.chn
TCM, http://s.cafef.vn/Lich-su-giao-dich-TCM-1.chn, http://s.cafef.vn/hose/TCM-cong-ty-co-phan-det-may-dau-tu-thuong-mai-thanh-cong.chn
DVG, http://s.cafef.vn/Lich-su-giao-dich-DVG-1.chn, http://s.cafef.vn/hastc/DVG-cong-ty-co-phan-tap-doan-son-dai-viet.chn
TXM, http://s.cafef.vn/Lich-su-giao-dich-TXM-1.chn, http://s.cafef.vn/hastc/TXM-cong-ty-co-phan-vicem-thach-cao-xi-mang.chn
DRL, http://s.cafef.vn/Lich-su-giao-dich-DRL-1.chn, http://s.cafef.vn/hose/DRL-cong-ty-co-phan-thuy-dien-dien-luc-3.chn
SCY, http://s.cafef.vn/Lich-su-giao-dich-SCY-1.chn, http://s.cafef.vn/upcom/SCY-cong-ty-co-phan-dong-tau-song-cam.chn
MEG, http://s.cafef.vn/Lich-su-giao-dich-MEG-1.chn, http://s.cafef.vn/upcom/MEG-cong-ty-co-phan-megram.chn
NVP, http://s.cafef.vn/Lich-su-giao-dich-NVP-1.chn, http://s.cafef.vn/upcom/NVP-cong-ty-co-phan-nuoc-sach-vinh-phuc.chn
VQC, http://s.cafef.vn/Lich-su-giao-dich-VQC-1.chn, http://s.cafef.vn/upcom/VQC-cong-ty-co-phan-giam-dinh-vinacomin.chn
DT4, http://s.cafef.vn/Lich-su-giao-dich-DT4-1.chn, http://s.cafef.vn/upcom/DT4-ctcp-quan-ly-bao-tri-duong-thuy-noi-dia-so-4.chn
VPH, http://s.cafef.vn/Lich-su-giao-dich-VPH-1.chn, http://s.cafef.vn/hose/VPH-cong-ty-co-phan-van-phat-hung.chn
QHW, http://s.cafef.vn/Lich-su-giao-dich-QHW-1.chn, http://s.cafef.vn/upcom/QHW-ctcp-nuoc-khoang-quang-ninh.chn
TPH, http://s.cafef.vn/Lich-su-giao-dich-TPH-1.chn, http://s.cafef.vn/hastc/TPH-cong-ty-co-phan-in-sach-giao-khoa-tai-tp-ha-noi.chn
FMC, http://s.cafef.vn/Lich-su-giao-dich-FMC-1.chn, http://s.cafef.vn/hose/FMC-cong-ty-co-phan-thuc-pham-sao-ta.chn
DQC, http://s.cafef.vn/Lich-su-giao-dich-DQC-1.chn, http://s.cafef.vn/hose/DQC-cong-ty-co-phan-bong-den-dien-quang.chn
PJT, http://s.cafef.vn/Lich-su-giao-dich-PJT-1.chn, http://s.cafef.vn/hose/PJT-cong-ty-co-phan-van-tai-xang-dau-duong-thuy-petrolimex.chn
CT5, http://s.cafef.vn/Lich-su-giao-dich-CT5-1.chn, http://s.cafef.vn/upcom/CT5-cong-ty-co-phan-3195.chn
TKA, http://s.cafef.vn/Lich-su-giao-dich-TKA-1.chn, http://s.cafef.vn/upcom/TKA-cong-ty-co-phan-bao-bi-tan-khanh-an.chn
PLA, http://s.cafef.vn/Lich-su-giao-dich-PLA-1.chn, http://s.cafef.vn/upcom/PLA-cong-ty-co-phan-dau-tu-dich-vu-ha-tang-xang-dau.chn
MBN, http://s.cafef.vn/Lich-su-giao-dich-MBN-1.chn, http://s.cafef.vn/upcom/MBN-cong-ty-co-phan-moi-truong-va-cong-trinh-do-thi-bac-ninh.chn
LWS, http://s.cafef.vn/Lich-su-giao-dich-LWS-1.chn, http://s.cafef.vn/upcom/LWS-cong-ty-co-phan-cap-nuoc-tinh-lao-cai.chn
PIT, http://s.cafef.vn/Lich-su-giao-dich-PIT-1.chn, http://s.cafef.vn/hose/PIT-cong-ty-co-phan-xuat-nhap-khau-petrolimex.chn
HEM, http://s.cafef.vn/Lich-su-giao-dich-HEM-1.chn, http://s.cafef.vn/upcom/HEM-cong-ty-co-phan-che-tao-dien-co-ha-noi.chn
SFI, http://s.cafef.vn/Lich-su-giao-dich-SFI-1.chn, http://s.cafef.vn/hose/SFI-cong-ty-co-phan-dai-ly-van-tai-safi.chn
SP2, http://s.cafef.vn/Lich-su-giao-dich-SP2-1.chn, http://s.cafef.vn/upcom/SP2-ctcp-thuy-dien-su-pan-2.chn
CLW, http://s.cafef.vn/Lich-su-giao-dich-CLW-1.chn, http://s.cafef.vn/hose/CLW-cong-ty-co-phan-cap-nuoc-cho-lon.chn
AGP, http://s.cafef.vn/Lich-su-giao-dich-AGP-1.chn, http://s.cafef.vn/upcom/AGP-cong-ty-co-phan-duoc-pham-agimexpharm.chn
ABT, http://s.cafef.vn/Lich-su-giao-dich-ABT-1.chn, http://s.cafef.vn/hose/ABT-cong-ty-co-phan-xuat-nhap-khau-thuy-san-ben-tre.chn
HAG, http://s.cafef.vn/Lich-su-giao-dich-HAG-1.chn, http://s.cafef.vn/hose/HAG-cong-ty-co-phan-hoang-anh-gia-lai.chn
